subscription_id,account_id,seats,status,mrr,started_on,ended_on
500128,723271,23,active,552.0,2025-08-20 10:57:50,
500129,871334,9,active,108.0,2025-01-26 14:22:10,
500130,345589,34,active,816.0,2023-05-09 06:54:26,
500131,377997,12,active,288.0,2024-12-19 15:01:00,
500132,713585,7,active,84.0,2024-12-12 06:52:20,
500133,190126,5,active,60.0,2024-12-12 12:24:17,
500134,604851,3,past_due,36.0,2025-08-20 15:41:02,
500135,248542,3,active,36.0,2025-02-06 23:40:53,
500136,508782,6,active,72.0,2023-12-09 02:36:05,
500137,393362,25,active,600.0,2023-08-01 09:27:52,
500138,334270,64,active,2816.0,2023-09-07 14:58:29,
500139,647019,34,active,816.0,2024-08-08 11:59:39,
500140,213004,7,active,84.0,2024-02-15 07:58:22,
500141,142260,134,active,5896.0,2023-10-10 09:51:14,
500142,102220,12,active,288.0,2025-05-06 09:24:35,
500143,973987,2,active,24.0,2024-11-16 13:45:11,
500144,288150,14,active,336.0,2025-02-12 16:56:34,
500145,431016,3,trialing,36.0,2025-09-02 16:15:06,
500146,400614,7,churned,84.0,2025-09-21 07:11:04,2025-12-12 07:11:04
500147,237614,25,churned,600.0,2024-06-01 17:16:46,2025-09-10 17:16:46
500148,488220,10,active,240.0,2025-02-21 17:47:51,
500149,830784,22,past_due,528.0,2024-09-28 15:50:43,
500150,377902,90,active,3960.0,2023-01-10 13:24:26,
500151,775696,5,active,60.0,2024-02-01 15:40:40,
500152,200830,22,active,528.0,2023-08-03 12:48:25,
500153,135223,6,churned,72.0,2023-11-25 10:17:58,2025-03-21 10:17:58
500154,304212,7,past_due,84.0,2023-02-28 08:41:30,
500155,837734,49,active,1176.0,2025-09-23 08:11:08,
500156,265989,4,active,48.0,2024-08-01 17:50:53,
500157,223459,7,active,84.0,2025-06-27 08:57:25,
500158,387432,20,active,480.0,2025-09-15 10:35:00,
500159,783281,3,active,36.0,2024-05-02 21:23:15,
500160,961826,6,active,72.0,2024-02-19 10:12:48,
500161,558269,190,churned,15010.0,2024-02-03 09:55:39,2025-11-29 09:55:39
500162,493074,5,active,60.0,2023-02-02 13:04:34,
500163,946742,5,active,60.0,2024-10-10 07:59:55,
500164,271695,4,active,48.0,2023-11-17 10:45:20,
500165,727732,4,active,48.0,2025-05-23 10:53:24,
500166,116787,15,active,360.0,2025-08-16 15:36:51,
500167,110840,64,active,2816.0,2024-01-25 11:07:52,
500168,622939,21,active,504.0,2025-01-07 12:03:52,
500169,430826,102,active,4488.0,2025-09-08 07:43:42,
500170,839821,25,active,600.0,2025-08-12 16:27:42,
500171,885767,12,active,288.0,2024-12-21 09:21:16,
500172,540498,29,active,696.0,2023-10-16 10:50:29,
500173,441926,5,past_due,60.0,2024-05-17 17:29:02,
500174,445354,6,active,72.0,2024-08-15 12:51:42,
500175,453260,21,active,504.0,2023-09-04 13:11:42,
500176,178553,3,active,36.0,2024-05-10 10:15:40,
500177,402163,5,active,60.0,2024-05-30 17:37:56,
500178,242844,45,active,1980.0,2023-04-04 23:08:21,
500179,288393,16,churned,384.0,2023-11-09 15:28:41,2024-08-17 15:28:41
500180,925364,26,active,624.0,2025-06-17 13:36:48,
500181,938205,11,active,132.0,2025-02-07 21:47:02,
500182,644475,5,active,60.0,2023-05-27 15:20:34,
500183,661655,5,past_due,60.0,2023-03-27 11:20:52,
500184,877086,22,active,528.0,2025-07-20 07:55:37,
500185,831195,39,active,936.0,2023-05-27 13:31:59,
500186,441439,6,trialing,72.0,2025-02-06 11:40:39,
500187,877896,6,churned,72.0,2023-12-20 04:58:53,2025-10-04 04:58:53
500188,200323,11,active,132.0,2023-11-08 05:15:16,
500189,269978,21,active,504.0,2023-03-12 04:28:59,
500190,430738,4,active,48.0,2023-07-02 14:08:45,
500191,490866,15,churned,360.0,2023-03-19 11:09:11,2023-10-09 11:09:11
500192,345955,16,trialing,384.0,2023-11-29 16:10:57,
500193,321951,3,active,36.0,2023-05-14 09:06:26,
500194,248669,9,active,108.0,2023-09-14 13:55:09,
500195,619919,2,active,24.0,2024-12-07 10:41:46,
500196,967279,9,active,108.0,2024-05-06 11:26:45,
500197,722460,5,active,60.0,2023-09-03 13:15:51,
500198,993977,4,active,48.0,2025-02-17 09:16:52,
500199,969635,8,past_due,96.0,2025-04-16 00:56:02,
500200,218565,4,churned,48.0,2023-11-12 16:16:07,2024-10-28 16:16:07
500201,761986,77,active,3388.0,2024-03-26 07:40:13,
500202,149920,4,active,48.0,2024-04-20 10:16:38,
500203,685576,11,active,264.0,2025-07-20 11:48:05,
500204,245218,35,active,1540.0,2024-03-08 15:44:50,
500205,679023,3,active,36.0,2024-06-25 16:50:00,
500206,547854,16,active,384.0,2024-07-09 11:11:20,
500207,280156,31,active,744.0,2023-11-30 12:23:22,
500208,298901,5,active,60.0,2024-06-04 04:17:45,
500209,699272,7,churned,84.0,2023-06-18 11:19:25,2025-09-22 11:19:25
500210,282693,3,active,36.0,2025-02-08 07:28:59,
500211,992229,61,active,2684.0,2024-11-04 14:02:59,
500212,143805,22,trialing,528.0,2025-05-04 15:55:59,
500213,914996,30,active,720.0,2024-05-11 08:23:40,
500214,448227,33,active,792.0,2025-06-09 12:54:27,
500215,552380,37,active,1628.0,2024-04-18 07:34:21,
500216,662023,10,active,120.0,2023-06-27 16:42:27,
500217,610566,14,active,336.0,2025-04-01 11:05:45,
500218,199248,92,active,4048.0,2025-08-22 13:02:39,
500219,358134,23,active,1012.0,2023-07-21 19:50:15,
500220,897529,2,active,24.0,2024-09-20 09:56:52,
500221,243998,3,churned,36.0,2024-08-23 14:40:22,2025-01-07 14:40:22
500222,171014,3,active,36.0,2025-02-04 06:52:38,
500223,870271,5,active,60.0,2023-02-24 11:40:17,
500224,617646,14,active,336.0,2023-02-26 12:28:50,
500225,314260,52,active,2288.0,2025-05-20 08:49:17,
500226,241202,42,active,1008.0,2024-04-29 12:06:25,
500227,504080,6,trialing,72.0,2023-02-16 16:15:07,
500228,868446,32,active,768.0,2024-10-01 09:00:04,
500229,194356,3,active,36.0,2025-08-23 13:15:28,
500230,563161,26,active,624.0,2024-12-10 07:07:11,
500231,398032,3,active,36.0,2025-09-22 15:49:23,
500232,116626,83,trialing,3652.0,2024-01-15 12:20:00,
500233,790366,3,active,36.0,2024-12-15 10:49:05,
500234,221718,4,active,48.0,2023-10-14 16:18:58,
500235,540233,2,active,24.0,2023-07-04 16:57:14,
500236,523028,5,trialing,60.0,2025-02-07 09:34:40,
500237,234922,69,active,3036.0,2025-09-25 09:05:29,
500238,216067,14,active,336.0,2025-03-21 13:26:29,
500239,205373,35,past_due,1540.0,2023-08-05 08:54:53,
500240,443384,7,active,84.0,2023-01-27 14:03:05,
500241,919974,64,active,2816.0,2023-09-11 07:55:56,
500242,466636,11,trialing,132.0,2024-04-04 17:43:26,
500243,309198,3,active,36.0,2025-05-26 15:54:37,
500244,514217,30,active,720.0,2025-07-27 10:40:54,
500245,931016,11,active,264.0,2023-06-13 07:14:32,
500246,861024,35,churned,840.0,2024-05-06 19:26:10,2024-09-05 19:26:10
500247,404631,14,active,336.0,2024-08-15 10:52:27,
500248,399159,8,active,192.0,2025-06-17 16:01:47,
500249,843432,2,past_due,24.0,2023-01-10 06:07:31,
500250,427620,30,churned,720.0,2024-11-01 14:15:21,2025-03-18 14:15:21
500251,218019,6,active,72.0,2025-01-23 17:58:25,
500252,866791,3,active,36.0,2024-02-03 10:57:32,
500253,705867,90,trialing,3960.0,2023-09-23 08:27:47,
500254,988184,38,active,1672.0,2025-07-11 18:22:39,
500255,548818,17,active,408.0,2025-07-28 11:48:56,
500256,291292,23,active,552.0,2024-01-17 14:36:21,
500257,689717,4,active,48.0,2024-10-26 11:32:53,
500258,899024,6,active,72.0,2023-11-29 14:30:52,
500259,854166,22,active,528.0,2024-06-04 08:38:36,
500260,930679,5,past_due,60.0,2024-08-12 15:26:30,
500261,861107,23,active,552.0,2023-03-21 18:26:25,
500262,511470,97,trialing,4268.0,2024-01-20 13:05:57,
500263,449270,8,active,96.0,2023-08-19 15:56:31,
500264,133440,7,churned,84.0,2023-10-30 07:52:17,2025-10-31 07:52:17
500265,205204,11,active,132.0,2024-11-14 08:57:31,
500266,493447,52,active,2288.0,2023-05-06 12:51:11,
500267,423101,105,active,4620.0,2024-08-06 15:49:55,
500268,350292,8,active,96.0,2023-04-12 05:34:58,
500269,863338,17,churned,408.0,2025-06-14 15:05:34,2025-09-26 15:05:34
500270,641328,2,active,24.0,2024-11-19 16:56:32,
500271,166599,29,active,696.0,2023-08-05 15:45:36,
500272,969783,25,active,600.0,2025-08-15 14:05:23,
500273,768193,29,active,696.0,2025-04-07 13:11:32,
500274,968396,6,active,72.0,2023-10-10 17:40:07,
500275,441792,30,active,720.0,2023-09-06 09:30:02,
500276,331536,5,churned,60.0,2024-10-26 13:14:46,2025-01-23 13:14:46
500277,912127,41,active,1804.0,2025-05-03 22:54:19,
500278,358368,4,active,48.0,2023-06-21 10:01:45,
500279,749734,5,trialing,60.0,2024-05-24 10:20:22,
500280,847327,34,active,816.0,2023-03-09 11:24:19,
500281,201117,30,active,720.0,2024-09-14 17:27:52,
500282,119663,77,active,3388.0,2025-03-06 13:34:53,
500283,792694,45,active,1080.0,2025-04-23 11:25:28,
500284,992844,12,active,288.0,2024-06-17 10:33:17,
500285,278618,27,churned,648.0,2023-08-24 10:55:11,2024-08-01 10:55:11
500286,544253,11,active,132.0,2025-05-21 18:58:14,
500287,592127,3,past_due,36.0,2024-09-12 08:59:48,
500288,260444,32,active,768.0,2024-02-24 18:58:27,
500289,961918,4,active,48.0,2023-08-17 14:56:04,
500290,724051,13,churned,312.0,2023-04-26 15:10:34,2025-03-21 15:10:34
500291,409157,5,trialing,60.0,2025-01-09 17:01:50,
500292,575382,34,active,816.0,2025-08-13 13:38:22,
500293,751178,48,active,2112.0,2024-08-20 08:10:18,
500294,301959,37,active,888.0,2023-01-12 09:23:40,
500295,591895,9,active,108.0,2024-08-03 16:17:34,
500296,555768,25,active,600.0,2023-08-08 15:57:36,
500297,675202,287,active,22673.0,2024-12-19 15:07:55,
500298,104172,2,active,24.0,2025-07-30 22:50:24,
500299,823165,6,past_due,72.0,2025-03-08 09:33:55,
500300,790797,2,active,24.0,2024-10-03 08:32:39,
500301,513477,33,active,792.0,2024-08-12 16:30:27,
500302,211963,19,churned,456.0,2023-07-18 11:05:21,2025-09-04 11:05:21
500303,380284,120,trialing,5280.0,2024-04-10 11:35:05,
500304,177009,2,churned,24.0,2024-08-29 06:49:28,2025-09-20 06:49:28
500305,301631,18,active,432.0,2024-05-27 14:35:42,
500306,696751,6,past_due,72.0,2024-04-22 12:40:25,
500307,691555,25,active,600.0,2025-01-19 13:52:46,
500308,359105,29,active,696.0,2024-05-05 08:50:45,
500309,836507,9,active,108.0,2024-02-07 17:42:29,
500310,113010,5,active,60.0,2024-01-08 23:37:53,
500311,142978,10,active,240.0,2023-01-12 12:22:42,
500312,230161,19,active,456.0,2023-04-30 13:08:58,
500313,650871,21,active,504.0,2023-04-30 06:41:52,
500314,687117,4,trialing,48.0,2024-12-14 10:05:51,
500315,259984,47,active,2068.0,2023-02-25 14:10:11,
500316,960588,4,active,48.0,2023-10-28 15:17:37,
500317,398864,24,active,576.0,2023-08-15 06:47:55,
500318,318405,4,active,48.0,2024-02-27 08:20:37,
500319,819790,27,active,648.0,2025-01-21 09:18:23,
500320,380513,7,active,84.0,2025-08-07 15:14:21,
500321,907943,3,past_due,36.0,2025-01-24 13:08:27,
500322,896132,8,active,96.0,2024-02-25 15:55:26,
500323,556047,32,active,768.0,2023-12-17 13:12:50,
500324,211956,12,active,288.0,2023-05-24 04:02:22,
500325,997844,142,trialing,6248.0,2024-12-22 05:58:02,
500326,433844,3,active,36.0,2024-07-14 08:54:20,
500327,138819,6,active,72.0,2024-05-01 14:28:46,
500328,378702,6,active,72.0,2024-12-30 16:08:08,
500329,253622,26,churned,624.0,2024-12-18 08:52:08,2025-03-20 08:52:08
500330,806120,4,active,48.0,2024-01-04 14:19:10,
500331,967030,21,active,504.0,2023-06-29 09:51:15,
500332,371884,6,churned,72.0,2023-02-15 14:37:54,2024-01-23 14:37:54
500333,492337,4,active,48.0,2025-09-26 15:02:07,
500334,333840,77,active,3388.0,2025-03-17 11:33:53,
500335,692863,8,active,96.0,2024-06-17 14:07:02,
500336,488457,6,past_due,72.0,2025-05-02 12:34:40,
500337,245270,2,churned,24.0,2023-07-12 12:39:35,2024-09-22 12:39:35
500338,575346,24,active,576.0,2025-08-16 20:15:30,
500339,588070,11,active,264.0,2025-07-16 12:37:06,
500340,553898,8,active,96.0,2023-09-20 09:14:17,
500341,288798,6,active,72.0,2024-06-21 09:11:36,
500342,395744,5,active,60.0,2023-02-24 11:25:51,
500343,701732,3,active,36.0,2024-01-24 09:27:03,
500344,216490,3,active,36.0,2024-09-24 12:03:25,
500345,537536,14,active,336.0,2024-12-31 17:20:01,
500346,892691,19,active,456.0,2025-07-30 07:29:32,
500347,983167,40,churned,960.0,2024-08-28 09:43:21,2024-11-02 09:43:21
500348,535256,20,active,480.0,2024-10-08 14:17:03,
500349,291773,6,active,72.0,2024-09-11 15:32:10,
500350,165228,27,active,648.0,2023-05-19 09:39:40,
500351,169880,8,active,96.0,2023-08-19 16:13:21,
500352,540635,7,churned,168.0,2023-02-04 18:20:51,2023-08-17 18:20:51
500353,865765,10,active,120.0,2023-12-29 13:12:28,
500354,479390,3,churned,36.0,2024-04-02 09:49:16,2025-06-17 09:49:16
500355,693667,22,active,528.0,2023-11-14 16:49:48,
500356,136425,4,active,48.0,2024-12-08 10:00:12,
500357,269728,75,active,3300.0,2023-05-30 11:08:18,
500358,700348,4,churned,48.0,2025-06-23 15:16:53,2025-10-25 15:16:53
500359,675863,19,active,456.0,2024-10-19 12:25:14,
500360,646333,5,active,60.0,2023-01-25 14:37:21,
500361,551545,3,churned,36.0,2023-01-03 07:38:41,2024-03-13 07:38:41
500362,275252,22,active,528.0,2025-01-24 07:35:10,
500363,397763,13,trialing,312.0,2024-03-28 13:41:39,
500364,198116,35,active,840.0,2025-07-22 09:03:17,
500365,537263,29,active,696.0,2025-09-25 14:38:21,
500366,583252,20,past_due,480.0,2023-01-04 09:31:57,
500367,919065,26,churned,624.0,2023-12-20 17:57:06,2024-10-25 17:57:06
500368,908690,35,past_due,840.0,2024-02-04 08:35:23,
500369,487420,25,active,600.0,2023-01-25 17:35:47,
500370,686117,7,active,84.0,2023-05-31 16:50:21,
500371,320794,5,active,60.0,2024-02-16 16:54:58,
500372,415716,3,churned,36.0,2023-12-12 10:02:00,2025-02-17 10:02:00
500373,364738,35,active,840.0,2024-01-23 08:27:44,
500374,766913,19,active,456.0,2025-05-20 10:37:41,
500375,952114,69,active,3036.0,2024-04-29 13:38:00,
500376,901613,5,past_due,60.0,2024-11-27 13:23:58,
500377,439406,9,active,108.0,2025-02-23 13:28:31,
500378,556479,6,active,72.0,2023-09-17 11:00:45,
500379,712131,41,active,984.0,2024-03-25 15:02:51,
500380,235164,55,trialing,1320.0,2024-02-09 17:07:40,
500381,581789,11,active,132.0,2024-12-17 18:08:20,
500382,509193,86,churned,3784.0,2023-10-13 10:13:37,2024-06-04 10:13:37
500383,863793,8,past_due,96.0,2024-01-12 12:04:13,
500384,554336,3,active,36.0,2024-04-28 16:04:30,
500385,827874,5,active,60.0,2025-01-20 12:10:00,
500386,567592,33,churned,792.0,2023-02-26 08:29:33,2023-12-07 08:29:33
500387,918212,99,active,4356.0,2025-06-21 14:10:38,
500388,357563,8,active,192.0,2024-02-25 09:41:21,
500389,271150,13,active,312.0,2025-06-24 19:20:41,
500390,383348,7,past_due,168.0,2025-08-11 08:02:18,
500391,768839,1,active,12.0,2025-07-14 14:39:10,
500392,467325,8,past_due,192.0,2023-08-17 11:29:41,
500393,859443,248,active,19592.0,2025-01-09 15:21:13,
500394,724555,4,active,48.0,2024-11-01 18:04:04,
500395,886365,57,active,2508.0,2024-03-25 08:56:04,
500396,966960,31,active,744.0,2023-10-05 10:10:10,
500397,451634,8,active,192.0,2023-03-19 18:53:23,
500398,563394,37,active,888.0,2025-01-19 04:43:44,
500399,668059,5,active,60.0,2025-03-26 16:04:02,
500400,112840,4,churned,48.0,2024-08-01 11:08:57,2025-02-27 11:08:57
500401,819199,3,past_due,36.0,2023-07-15 09:03:37,
500402,152728,128,active,10112.0,2024-04-05 06:57:09,
500403,124942,25,churned,600.0,2023-06-13 15:09:25,2023-11-14 15:09:25
500404,679810,23,active,552.0,2023-11-20 12:58:59,
500405,687595,45,active,1980.0,2024-06-16 14:06:09,
500406,550912,5,active,60.0,2023-09-08 15:53:53,
500407,504637,4,active,48.0,2024-04-06 07:50:07,
500408,959623,6,active,72.0,2023-04-29 15:17:08,
500409,606858,5,active,60.0,2025-05-24 18:56:06,
500410,244208,3,active,36.0,2024-09-25 16:08:23,
500411,549691,25,churned,600.0,2023-04-18 12:37:07,2024-11-10 12:37:07
500412,722037,12,active,144.0,2023-01-04 09:38:09,
500413,379248,69,active,3036.0,2025-02-15 11:50:07,
500414,254564,101,trialing,4444.0,2024-05-23 16:05:16,
500415,894894,21,active,504.0,2023-09-24 16:55:21,
500416,164239,3,active,36.0,2024-06-30 04:00:14,
500417,315118,78,active,3432.0,2023-05-24 16:58:10,
500418,249442,80,active,3520.0,2024-12-25 21:25:06,
500419,540658,5,active,60.0,2024-07-28 10:04:46,
500420,940445,12,active,144.0,2023-01-15 15:00:49,
500421,129289,2,active,24.0,2024-08-08 10:51:38,
500422,296755,11,churned,132.0,2023-11-09 15:04:29,2024-11-11 15:04:29
500423,935611,3,active,36.0,2024-09-26 11:14:02,
500424,481953,147,active,6468.0,2023-05-08 08:02:53,
500425,649882,7,trialing,84.0,2024-12-08 14:07:40,
500426,148986,14,active,168.0,2024-11-23 14:40:06,
500427,381513,3,active,36.0,2023-12-24 11:05:04,
500428,646915,19,active,456.0,2025-01-30 08:13:53,
500429,480190,3,trialing,36.0,2024-01-29 06:58:46,
500430,232216,3,churned,36.0,2024-03-05 13:44:16,2025-03-22 13:44:16
500431,228567,27,churned,648.0,2024-07-26 09:14:06,2025-07-02 09:14:06
500432,820834,28,active,672.0,2025-09-23 13:19:47,
500433,835797,25,active,600.0,2024-02-18 10:40:04,
500434,256231,37,active,888.0,2023-04-25 15:15:28,
500435,979522,3,trialing,72.0,2024-06-07 13:45:38,
500436,663683,4,active,48.0,2025-06-11 09:50:17,
500437,372540,38,active,1672.0,2023-03-14 07:00:56,
500438,800274,26,active,624.0,2024-04-08 20:22:12,
500439,888943,3,churned,36.0,2025-05-07 07:19:40,2025-09-28 07:19:40
500440,596031,12,active,288.0,2024-03-01 23:05:21,
500441,435261,42,active,1008.0,2023-04-07 14:11:47,
500442,176599,5,active,60.0,2025-07-21 08:58:35,
500443,942304,117,active,5148.0,2024-08-19 10:44:44,
500444,602857,6,active,72.0,2025-03-25 14:07:49,
500445,184233,2,active,24.0,2024-11-14 07:30:46,
500446,181156,21,active,504.0,2024-11-19 12:16:10,
500447,479493,9,active,108.0,2023-01-21 10:30:18,
500448,887991,6,active,72.0,2023-07-26 20:19:34,
500449,691462,10,active,120.0,2024-03-22 18:02:46,
500450,452461,24,active,576.0,2023-11-11 12:51:24,
500451,742834,8,active,96.0,2024-04-23 20:51:09,
500452,631589,21,churned,504.0,2024-10-20 11:04:20,2025-04-06 11:04:20
500453,115359,3,active,36.0,2023-06-21 10:57:18,
500454,685200,20,active,480.0,2025-03-16 14:36:11,
500455,108606,25,active,600.0,2023-04-25 11:01:48,
500456,641547,30,churned,720.0,2023-09-05 07:09:25,2024-01-02 07:09:25
500457,818654,4,active,96.0,2024-09-12 15:33:45,
500458,624691,29,active,696.0,2025-01-06 13:41:11,
500459,735377,2,past_due,24.0,2023-11-19 15:54:38,
500460,631393,3,active,36.0,2023-11-16 08:06:49,
500461,144659,22,active,528.0,2024-09-24 00:46:56,
500462,842517,40,churned,960.0,2023-12-31 08:13:04,2025-01-14 08:13:04
500463,705149,8,churned,96.0,2023-04-11 10:12:56,2024-04-23 10:12:56
500464,421775,2,active,24.0,2024-06-30 07:39:12,
500465,165982,15,active,360.0,2025-09-16 16:40:39,
